Customer Name,Customer #,Invoice #,Invoice Amount,Due Date,Predicted Payment Date
WAL-MAR corp,200769623,1930777054,6795.92,2020-04-29,2020-04-30
SCHNU us,200747369,1930778182,11340.4,2020-04-29,2020-04-30
ARMY corporation,200754118,1930810845,4445.28,2020-05-07,2020-05-08
WAL-MAR llc,200769623,1930883853,12892.72,2020-05-25,2020-05-26
WAL-MAR systems,200769623,1930614595,5197.01,2020-03-23,2020-03-24
MDV/ corporation,200792734,1930797140,31724.33,2020-05-01,2020-05-02
AM trust,200418007,1930819053,243.84,2020-05-12,2020-05-13
C&S WH foundation,200762301,1930775780,7676.93,2020-06-14,2020-06-15
C&S WH llc,200762301,1930571059,64800.68,2020-03-13,2020-03-14
WALG systems,200712105,1930782123,53738.56,2020-04-28,2020-04-29
DEC,200416837,1930870634,207.84,2020-05-24,2020-06-21
WAKE systems,200704858,1930568926,33319.04,2020-03-15,2020-03-16
WAL-MAR systems,200769623,1930675478,34732.77,2020-04-07,2020-04-08
OLLIE,200076137,1930623226,37894.72,2020-03-28,2020-03-29
DEC corp,200803720,1930618816,413.4,2020-03-24,2020-04-21
MEIJ foundation,200780383,1930719413,113336.69,2020-04-13,2020-04-14
DEC trust,200020431,1930817453,2022.79,2020-04-26,2020-05-24
DEC trust,200416837,1930812625,6828.38,2020-05-09,2020-06-06
WAL-MAR systems,200769623,1930760759,7082.81,2020-04-23,2020-04-24
JET co,200152991,1930594084,9388.72,2020-03-23,2020-03-24
MITCH corporation,200799342,1930877417,68978.99,2020-05-23,2020-05-24
C& in,200435191,1930630948,110176.36,2020-04-01,2020-04-02
WAL-MAR corporation,200769623,1930586684,3618.57,2020-03-19,2020-03-20
WEIS systems,200771157,1930793588,91033.16,2020-05-01,2020-05-02
AM foundation,200418007,1930765309,165884.4,2020-04-25,2020-04-26
DEC co,200803720,1930765359,10258.95,2020-04-11,2020-05-09
SOCIETE  trust,140106099,2960625285,1720.81,2020-04-13,2020-04-15
DELHAIZE associates,100031704,1930778154,83393.36,2020-04-28,2020-04-29
US  co,200571849,1930674051,52972.21,2020-04-04,2020-04-05
BJ'S  corporation,200726979,1930670281,625.96,2020-04-03,2020-04-04
DI corp,200769369,1930725359,4717.67,2020-04-16,2020-04-17
WAL-MAR us,200769623,1930819702,56061.12,2020-05-10,2020-05-11
KRAFT F foundation,CCU013,1930580003,2718.94,2020-03-02,2020-02-29
DECA systems,200353024,1930763185,47074.86,2020-04-11,2020-05-09
SUPE corp,200936373,1930849701,93652.43,2020-05-18,2020-05-19
AM systems,200418007,1930752246,50172.96,2020-04-21,2020-04-22
DEC in,200416837,1930753865,2239.14,2020-04-24,2020-05-22
WAL-MAR co,200769623,1930827200,8949.7,2020-05-10,2020-05-11
FR co,200705372,1930659963,18583.24,2020-04-03,2020-04-04
KROG in,200029010,1930606620,153698,2020-05-09,2020-05-10
OK systems,200739534,1930669489,23239.16,2020-04-04,2020-04-05
KROGER associates,200752302,1930748924,80821.45,2020-04-21,2020-04-22
WAL-MAR associates,200769623,1930684282,16964.52,2020-04-07,2020-04-08
WAL-MAR co,200769623,1930806294,244.05,2020-05-07,2020-05-08
WAL-MAR corp,200769623,1930674582,14516.61,2020-04-05,2020-04-06
H E BUT co,200761734,1930581110,9068.2,2020-03-14,2020-03-15
WAL-MAR foundation,200769623,1930859442,15829.64,2020-05-21,2020-05-22
WAL-M in,140106408,2960627105,47087.44,2020-04-15,2020-04-17
KROGER us,200752302,1930604543,108303.71,2020-03-19,2020-03-20
SUPE trust,200741831,1930763481,99855.97,2020-04-25,2020-04-26
SYSCO F systems,200718130,1930859848,33852.94,2020-05-21,2020-05-22
COSTCO corporation,140104429,2960631053,86458.51,2020-05-15,2020-05-17
DEC associates,200416837,1930674081,10835.93,2020-03-26,2020-04-23
WAL-MAR corp,200769623,1930687148,45308.65,2020-04-08,2020-04-09
BAUGH SU corporation,200434439,1930627748,69932.15,2020-03-24,2020-03-25
C&S WH co,200762301,1930585163,27828.93,2020-03-17,2020-03-18
WAL-MAR associates,200769623,1930856134,6673.84,2020-05-20,2020-05-21
AL systems,200739006,1930758390,6305.93,2020-04-22,2020-04-23
C&S WH co,200762301,1930753153,7889.32,2020-04-22,2020-04-23
DEC llc,200416837,1930674730,3867.83,2020-03-26,2020-04-23
SHAM systems,200769556,1930623419,19051.81,2020-03-25,2020-03-26
THE  corporation,140106181,2960631812,2883.6,2020-05-11,2020-05-13
WAL-MAR in,200769623,1930685217,14863.73,2020-04-08,2020-04-09
VILA systems,200576926,1930602811,43188.25,2020-03-19,2020-03-20
WAL-MAR in,200769623,1930832320,8795.86,2020-05-13,2020-05-14
WAL-MAR trust,200769623,1930673656,23148.12,2020-04-04,2020-04-05
WAL-MAR foundation,200769623,1930799713,8871.71,2020-05-04,2020-05-05
WAL-MAR associates,200769623,1930856862,13491.34,2020-05-21,2020-05-22
WAL-MAR trust,200769623,1930716226,3983.68,2020-04-13,2020-04-14
WAL-MAR us,200769623,1930888695,7949.5,2020-05-27,2020-05-28
WAL-MAR foundation,200769623,1930599063,16236.31,2020-03-20,2020-03-21
RESTA,200974851,1930786330,176.01,2020-05-01,2020-05-02
METRO  co,140104423,2960624997,24864,2020-04-14,2020-04-16
MCL co,200799367,1930701014,17365.3,2020-04-10,2020-04-11
PERISH foundation,200526831,1930652811,96626.63,2020-03-29,2020-03-30
OK co,200739534,1930652862,72439.69,2020-03-30,2020-03-31
SAFEW trust,200772595,1930606201,9029.6,2020-05-08,2020-05-09
OK trust,200739534,1930662855,47350.66,2020-04-01,2020-04-02
KEYBRA,140105963,2960627597,33005.59,2020-04-27,2020-04-29
WAL-MAR in,200769623,1930759916,4688.94,2020-04-23,2020-04-24
PUBLI trust,200707822,1930849828,117380.52,2020-05-16,2020-05-17
ASSOCIAT systems,200772670,1930738275,36564.7,2020-04-17,2020-03-22
WAL-MAR systems,200769623,1930749409,15454.34,2020-04-20,2020-04-21
U R M  associates,200773364,1930808619,66167.83,2020-05-07,2020-05-08
MDV/ corporation,200792734,1930666831,36474.86,2020-04-02,2020-04-03
ASSOCIA foundation,200735528,1930717209,110489.07,2020-04-14,2020-04-15
WAL-MAR corporation,200769623,1930593934,15693.78,2020-03-20,2020-03-21
SYSC co,140105686,2960627987,8252.8,2020-05-10,2020-05-12
SYSC associates,140105686,2960630829,27087.96,2020-05-08,2020-05-10
DEC systems,200803720,1930861751,8406.75,2020-05-11,2020-06-08
WAL-MAR foundation,200769623,1930732632,43030.16,2020-04-18,2020-04-19
TIMES trust,200458131,1930676765,4455.26,2020-04-11,2020-04-12
WAL-MAR trust,200769623,1930620476,16557.47,2020-03-24,2020-03-25
DOLLA llc,200148860,1930729508,14725.06,2020-04-16,2020-04-17
SAFEW in,200772595,1930723401,96907.53,2020-04-14,2020-04-15
ALBERT associates,200881076,1930642144,74699.82,2020-03-27,2020-03-28
AM associates,200418007,1930723962,64478.14,2020-04-14,2020-04-15
TARG in,200744019,1930821444,34302.54,2020-05-10,2020-05-11
WAL-MAR foundation,200769623,1930710001,39551.08,2020-04-11,2020-04-12
BARGAIN  foundation,200290370,1930594331,18419.4,2020-03-23,2020-03-24
FR co,200705372,1930703994,109389.81,2020-04-11,2020-04-12
WAL-MAR us,200769623,1930724160,1898.2,2020-04-15,2020-04-16
STATER  associates,200743996,1930670952,59708.89,2020-04-03,2020-04-04
WAL-MAR llc,200769623,1930774359,598.76,2020-04-27,2020-04-28
WAL-M llc,140106408,2960628132,3201.82,2020-04-24,2020-05-04
ROU trust,200790107,1930636909,126377.11,2020-03-25,2020-03-26
BJ'S  corp,200726979,1930689903,591.24,2020-04-05,2020-04-06
PUBLI corporation,200707822,1930814435,124284.97,2020-05-08,2020-05-09
AM us,200418007,1930577435,30240,2020-05-08,2020-05-09
SA in,200729942,1930759540,7020.44,2020-04-22,2020-04-23
DEC llc,200020431,1930678789,6392.9,2020-03-26,2020-04-23
WAL-MAR systems,200769623,1930732876,36259.41,2020-04-18,2020-04-19
RA,200704045,1930629727,26864.7,2020-03-24,2020-03-25
WAL-MAR foundation,200769623,1930727291,52141.53,2020-04-16,2020-04-17
WAKE corp,200704858,1930822766,55012.26,2020-05-10,2020-05-11
DOT us,200705742,1930712381,37115.47,2020-04-11,2020-04-12
ASSOCIAT llc,200772670,1930712181,53092.74,2020-04-11,2020-04-02
WAL-MAR corp,200769623,1930842911,20430.54,2020-05-16,2020-05-17
WAL-MAR trust,200769623,1930796368,2158.98,2020-05-02,2020-05-03
WAL-MAR foundation,200769623,1930684765,22746.13,2020-04-06,2020-04-07
SYSCO us,200900909,1930650679,33539.2,2020-04-16,2020-04-17
WAL-MAR corp,200769623,1930781077,12727.38,2020-04-29,2020-04-30
DEC co,200416837,1930812630,13265.07,2020-04-26,2020-05-24
C&S W in,200965912,1930691407,12200.64,2020-04-09,2020-04-10
SO us,140104440,2960631504,159041.99,2020-05-07,2020-05-09
C&S WH trust,200762301,1930675785,121403.86,2020-04-03,2020-04-04
TRA corporation,200101621,1930729972,46121.4,2020-04-16,2020-04-17
MCL foundation,200799367,1930820676,26047.79,2020-05-13,2020-05-14
TARG in,200744019,1930710066,148970.11,2020-04-10,2020-04-11
SYSCO F corporation,200763814,1930837420,127.77,2020-05-13,2020-05-14
SA foundation,200759878,1930690996,99208.29,2020-04-09,2020-04-10
WAL-MAR co,200769623,1930843807,24438.12,2020-05-15,2020-05-16
DEC systems,200416837,1930599714,5171.5,2020-03-08,2020-04-05
C&S WH co,200762301,1930571054,25978.95,2020-03-13,2020-03-14
AM llc,200418007,1930821692,48384,2020-05-14,2020-05-15
WAL-MAR us,200769623,1930846816,471.56,2020-05-15,2020-05-16
COST trust,200794332,1930862104,5531.59,2020-05-22,2020-05-23
SYSCO,200900909,1930610201,2350.07,2020-04-01,2020-04-02
WAL-MAR corporation,200769623,1930750448,57510.94,2020-04-20,2020-04-21
WAL-MAR llc,200769623,1930710268,757.33,2020-04-12,2020-04-13
KROGER corp,200793513,1930585628,16534.82,2020-03-17,2020-03-18
SAFEW in,200772595,1930814773,139044.75,2020-05-09,2020-05-10
MCL foundation,200799367,1930662137,105335.21,2020-04-01,2020-04-02
AM foundation,200418007,1930789000,1846.8,2020-06-19,2020-06-20
SA in,200759878,1930675539,102956.92,2020-05-05,2020-05-03
WAL-MAR associates,200769623,1930796263,9499.09,2020-05-03,2020-05-04
WAL-M foundation,140106408,2960626909,5044.91,2020-04-15,2020-04-17
WAL-MAR associates,200769623,1930691202,16010.33,2020-04-08,2020-04-09
FR in,200705372,1930781982,23763.5,2020-04-30,2020-05-01
COAS systems,200337148,1930598062,133368.49,2020-03-18,2020-03-19
CHEN trust,200799180,1930585797,61426.07,2020-03-18,2020-03-19
ASSOC G llc,200782772,1930621176,196.16,2020-05-12,2020-05-13
DECA us,200592182,1930789841,48679.68,2020-04-11,2020-05-09
PUBLI trust,200707822,1930768759,2016.63,2020-04-29,2020-04-30
H E BUT us,200761734,1930758172,13269.25,2020-04-22,2020-04-23
WAL-MAR corp,200769623,1930885342,13666.66,2020-05-27,2020-05-28
WAL-MAR co,200769623,1930646680,13977.1,2020-03-28,2020-03-29
METRO  foundation,140104423,2960625146,24290.69,2020-04-12,2020-04-14
C corporation,200778870,1930829511,8690.18,2020-05-12,2020-05-13
BJ'S  corporation,200726979,1930752129,190.38,2020-04-19,2020-04-20
WAL-MAR,200769623,1930719136,10665.88,2020-04-15,2020-04-16
SYSC,200331749,1930637434,20623.57,2020-03-25,2020-03-26
OK,200739534,1930593916,34395.87,2020-03-17,2020-03-18
DOLLA foundation,200148860,1930674484,69337.47,2020-04-05,2020-04-06
COST llc,200794332,1930637680,32715.47,2020-03-26,2020-03-27
SMITH'S foundation,200466603,1930688863,83553.41,2020-04-08,2020-04-09
BJ'S  corp,200726979,1930629993,1055.64,2020-03-22,2020-03-23
WAL-MAR corp,200769623,1930832650,6663.1,2020-05-13,2020-05-14
WAL-MAR associates,200769623,1930597516,16926.86,2020-03-21,2020-03-22
WAL-MAR corp,200769623,1930813843,21326.5,2020-05-08,2020-05-09
WAL-M,140106408,2960631795,5714.28,2020-05-12,2020-05-22
WAL-MAR trust,200769623,1930883275,34151.69,2020-05-25,2020-05-26
COST in,200794332,1930739808,24923.31,2020-04-21,2020-04-22
COST trust,200794332,1930716924,14772.55,2020-04-14,2020-04-15
COAS us,200337148,1930856052,66054.39,2020-05-20,2020-05-21
H T H trust,200078795,1930765101,794.71,2020-04-28,2020-04-29
SPAR in,200712187,1930797577,33947.68,2020-05-02,2020-05-03
WAL-MAR corporation,200769623,1930653558,65588.56,2020-03-31,2020-04-01
ASSOCIAT us,200772670,1930871183,589.21,2020-05-21,2020-05-12
ASSOCIAT in,200772670,1930665992,9644.12,2020-04-01,2020-03-06
WAL-MAR,200769623,1930671954,6673.84,2020-04-03,2020-04-04
C&S WH foundation,200762301,1930715633,3653.43,2020-04-14,2020-04-15
COST systems,200794332,1930699733,32715.47,2020-04-09,2020-04-10
SA co,200759878,1930804562,13696.5,2020-05-07,2020-05-08
PUBLI associates,200707822,1930829851,67625.55,2020-05-12,2020-05-13
ASSOCIAT corp,200772670,1930859979,90984.26,2020-05-20,2020-05-11
BJ'S  systems,200726979,1930793761,490.27,2020-05-01,2020-05-02
AM,200418007,1930822635,92041.54,2020-05-10,2020-05-11
CASEY foundation,200900212,1930796566,23161.92,2020-05-02,2020-05-03
WAL-MAR foundation,200769623,1930610016,80289.64,2020-03-21,2020-03-22
DEC llc,200416837,1930672407,66.48,2020-04-08,2020-05-06
SA co,200759878,1930725087,97600.31,2020-04-16,2020-04-17
WAL-MAR corp,200769623,1930580156,471.56,2020-03-13,2020-03-14
COST corp,200794332,1930675213,3315.46,2020-04-05,2020-04-06
WAL-MAR,200769623,1930797570,20261.67,2020-05-03,2020-05-04
WAL-MAR systems,200769623,1930597878,59456.05,2020-03-18,2020-03-19
SYSC associates,140105686,2960623285,36674.94,2020-04-04,2020-04-06
WAL-MAR llc,200769623,1930763469,1898.9,2020-04-24,2020-04-25
US  co,200943275,1930598556,65174.77,2020-03-18,2020-03-19
UNIFIE co,200792293,1930765698,24206.42,2020-04-23,2020-04-24
WAL-MAR systems,200769623,1930701315,6173.41,2020-04-10,2020-04-11
KRAFT  foundation,CCCA02,1930587602,7896,2020-04-07,2020-04-08
WAL-MAR systems,200769623,1930775191,15513.33,2020-04-27,2020-04-28
DOT systems,200705742,1930686954,13891.28,2020-04-07,2020-04-08
ASSOCIAT co,200772670,1930641933,57212.78,2020-05-18,2020-05-19
TARG us,200744019,1930822605,14436.09,2020-05-09,2020-05-10
LOB foundation,140104409,2960633784,83073.42,2020-05-24,2020-05-26
WAL-MAR systems,200769623,1930731687,1203.24,2020-04-18,2020-04-19
WAL-MAR foundation,200769623,1930794155,4029.37,2020-05-02,2020-05-03
MCL foundation,200799367,1930570850,9968.25,2020-03-19,2020-03-20
WAL-MAR in,200769623,1930827689,21645.45,2020-05-11,2020-05-12
WAL-MAR corp,200769623,1930703871,49318.34,2020-04-15,2020-04-16
BJ'S  systems,200726979,1930653553,17034.24,2020-04-01,2020-04-02
AM trust,200418007,1930753901,977.64,2020-06-13,2020-06-14
C&S WH co,200762301,1930594382,19365.52,2020-05-06,2020-05-07
KRAFT,CCCA02,1930645311,7584,2020-04-17,2020-04-18
WAL-MAR co,200769623,1930819121,10127.04,2020-05-10,2020-05-11
W LEE,200737918,1930793349,89190.58,2020-05-03,2020-05-04
INGL associates,200759082,1930751919,64524.72,2020-04-20,2020-04-21
WAL-MAR associates,200769623,1930851118,54391.65,2020-05-17,2020-05-18
PERISH trust,200526831,1930731076,98197.93,2020-04-16,2020-04-17
WAL-MAR trust,200769623,1930862704,225.46,2020-05-21,2020-05-22
WALG us,200712105,1930760316,43709.78,2020-04-22,2020-04-23
SYGMA llc,200782669,1930605238,17503.2,2020-04-12,2020-04-13
HAR,200762950,1930662777,131812.37,2020-04-03,2020-04-04
C&S WH associates,200762301,1930715493,121527.6,2020-04-13,2020-04-14
ALBERT associates,200920735,1930752318,20187.5,2020-04-21,2020-04-22
WAL-MAR corporation,200769623,1930813635,3004.59,2020-05-07,2020-05-08
DEC llc,200803720,1930820307,417.72,2020-05-09,2020-06-06
WAL-MAR llc,200769623,1930892051,10401.09,2020-05-27,2020-05-28
KROGER us,200743123,1930855289,69801.2,2020-05-18,2020-05-19
DOT,200705742,1930808460,50840.85,2020-05-05,2020-05-06
LOB in,140104409,2960622567,3287.17,2020-04-02,2020-04-04
DECA corporation,200230690,1930856151,3601.69,2020-05-24,2020-06-21
WAL-MAR associates,200769623,1930859304,56988.47,2020-05-21,2020-05-22
WAKE,200704858,1930686294,172415.53,2020-04-07,2020-04-08
SYSCO FO trust,200780825,1930595766,8921.82,2020-03-18,2020-03-19
C&S WH corp,200762301,1930780011,135853.38,2020-04-28,2020-04-29
DEC,200020431,1930767182,7466.33,2020-04-11,2020-05-09
M B  foundation,200741174,1930660520,23081.79,2020-04-02,2020-04-03
KRAFT,CCCA02,1930700731,7648.32,2020-04-30,2020-05-01
PUBLI us,200707822,1930856669,140567.14,2020-05-19,2020-05-20
US  us,200622385,1930835666,59070.41,2020-05-14,2020-05-15
COST llc,200794332,1930759712,18778.37,2020-04-24,2020-04-25
H E BUT systems,200761734,1930809513,38962.8,2020-05-06,2020-05-07
MEIJ corp,200780383,1930737037,60072.15,2020-04-18,2020-04-19
TARG,200744019,1930823034,16304.99,2020-05-10,2020-05-11
SOB,140104249,2960617966,76364.15,2020-03-21,2020-03-23
PAPA JO systems,100043936,1930862395,15026.34,2020-05-16,2020-05-17
COLABOR  llc,140104340,2960626766,34932.15,2020-04-17,2020-04-19
WAL-MAR in,200769623,1930861727,12334.61,2020-05-22,2020-05-23
AM,200418007,1930752247,24572.64,2020-06-10,2020-06-11
WAL-MAR corp,200769623,1930721357,275.79,2020-04-15,2020-04-16
WAL-MAR systems,200769623,1930848878,2059.84,2020-05-22,2020-05-23
WAL-MAR associates,200769623,1930709938,15878.6,2020-04-10,2020-04-11
COST corporation,200794332,1930731259,1753.45,2020-04-16,2020-04-17
PUBLI corp,200707822,1930649465,670.48,2020-03-28,2020-03-29
SHOPPE us,140105785,2960629263,31910.4,2020-05-08,2020-05-10
WAL-MAR systems,200769623,1930862342,10141.34,2020-05-22,2020-05-23
ROADTOWN corporation,100049850,1991839920,12992.85,2020-04-28,2020-04-30
DELHAIZE associates,100031704,1930809450,68968.65,2020-05-07,2020-05-08
WAL-MAR us,200769623,1930751869,60109.05,2020-04-22,2020-04-23
ASSOCIAT systems,200772670,1930750505,283.49,2020-04-19,2020-03-24
WAL-MAR llc,200769623,1930589827,44873.42,2020-03-18,2020-03-19
COST llc,200794332,1930708591,10311.06,2020-04-12,2020-04-13
TARG in,200744019,1930796580,4294.66,2020-05-03,2020-05-04
WAL-MAR foundation,200769623,1930796161,11757.67,2020-05-02,2020-05-03
WAL-MAR systems,200769623,1930638616,43308.23,2020-03-28,2020-03-29
DECA us,200353024,1930606170,11445.71,2020-03-08,2020-04-05
TARG,200744019,1930858262,17361.9,2020-05-20,2020-05-21
SHAM associates,200769556,1930603102,10651.2,2020-04-12,2020-04-13
WAL-MAR,200769623,1930885021,38945.94,2020-05-25,2020-05-26
WAL-MAR corp,200769623,1930739059,11307.78,2020-04-23,2020-04-24
S AB co,200752393,1930664884,60005.69,2020-04-01,2020-04-02
WAL-MAR systems,200769623,1930823976,909.01,2020-05-10,2020-05-11
WAL-MAR co,200769623,1930571264,47145.76,2020-03-13,2020-03-14
C corporation,200778870,1930764073,8161.5,2020-04-23,2020-04-24
ALBERT associates,200920735,1930814009,63442.54,2020-05-06,2020-05-07
COST llc,200794332,1930652967,15913.76,2020-03-31,2020-04-01
WAL-MAR us,200769623,1930729195,25429.69,2020-04-17,2020-04-18
RA trust,200704045,1930729360,24849.86,2020-04-16,2020-04-17
WAL-MAR,200769623,1930685153,10847.87,2020-04-09,2020-04-10
COSTCO us,140104429,2960624616,86532.82,2020-04-14,2020-04-16
FR systems,200705372,1930565376,53269.07,2020-03-13,2020-03-14
WAL-MAR systems,200769623,1930832039,5976.32,2020-05-13,2020-05-14
HAR trust,200762950,1930831323,125004.71,2020-05-15,2020-05-16
SA co,200759878,1930603130,18654.75,2020-03-20,2020-03-21
KRAFT F in,CCU013,1930691492,12045.11,2020-03-26,2020-03-24
WAL-MAR co,200769623,1930870957,55030.72,2020-05-23,2020-05-24
WAL-MAR co,200769623,1930593454,16335.24,2020-03-19,2020-03-20
DECA,200230690,1930599908,27,2020-03-24,2020-04-21
WAL-MAR systems,200769623,1930594061,476.18,2020-03-19,2020-03-20
TARG,200744019,1930578662,32725.92,2020-03-14,2020-03-15
C&S W us,200965912,1930715846,7666.5,2020-06-01,2020-06-02
REINHA corporation,200756072,1930688867,38510.43,2020-04-09,2020-04-10
G&K in,100051489,1930570677,2932.5,2020-03-17,2020-03-18
WAL-MAR,200769623,1930710262,217.69,2020-04-12,2020-04-13
DEC associates,200416837,1930672159,2086.6,2020-04-08,2020-05-06
TARG systems,200744019,1930581162,17812.07,2020-03-15,2020-03-16
COST in,200794332,1930782548,502.45,2020-04-30,2020-05-01
WAL-MAR corporation,200769623,1930729014,19348.33,2020-04-15,2020-04-16
ASSOCIAT,200772670,1930683448,33473.26,2020-04-05,2020-03-10
JET trust,200152991,1930793726,899.89,2020-05-01,2020-05-02
WAL-MAR us,200769623,1930733623,7143.76,2020-04-18,2020-04-19
DOT co,200705742,1930608243,4781.82,2020-04-08,2020-04-09
UNIFIE co,200792293,1930788169,40326.48,2020-05-01,2020-05-02
PUBLI systems,200707822,1930762762,22132.62,2020-04-22,2020-04-23
WAL-MAR systems,200769623,1930753141,21997.78,2020-04-19,2020-04-20
WEGMAN us,200711029,1930783125,30073,2020-04-28,2020-04-29
WAL-MAR,200769623,1930659300,12535.17,2020-04-01,2020-04-02
ASSOCIAT trust,200772670,1930690532,67731.85,2020-04-07,2020-03-12
AM foundation,200418007,1930742693,6331.65,2020-04-23,2020-04-24
WAL-MAR corp,200769623,1930718104,6269.95,2020-04-14,2020-04-15
DEC us,200803720,1930872353,345.66,2020-05-24,2020-06-21
LAUREL us,200780849,1930654528,29803.4,2020-03-31,2020-04-01
M B  systems,200741174,1930693170,34259.3,2020-04-15,2020-04-16
SA in,200759878,1930757864,29398.78,2020-04-24,2020-04-25
H E BUT trust,200761734,1930599339,15319.04,2020-05-08,2020-05-09
AM in,200418007,1930623804,31.56,2020-05-14,2020-05-15
DAWN co,200767520,1930763455,30186,2020-04-21,2020-04-22
JRD us,200781803,1930646320,12019.16,2020-03-29,2020-03-30
BJ'S  co,200726979,1930674598,1005.04,2020-04-04,2020-04-05
BJ'S  systems,200726979,1930774147,63.46,2020-04-25,2020-04-26
PUBLI corporation,200707822,1930577125,171873.63,2020-03-15,2020-03-16
RA co,200704045,1930578664,18411.04,2020-03-14,2020-03-15
DOT,200705742,1930643347,15232.76,2020-04-13,2020-04-14
BJ'S  foundation,200726979,1930665174,71.46,2020-04-03,2020-04-04
WAL-MAR co,200769623,1930740536,22970.12,2020-04-19,2020-04-20
DELHAIZE systems,100031704,1930703597,65783.42,2020-04-10,2020-04-11
WAL-MAR,200769623,1930652977,50629.15,2020-03-30,2020-03-31
WINC corp,200706844,1930791318,2027.29,2020-04-30,2020-05-01
WINC trust,200706844,1930670860,8929.14,2020-04-04,2020-04-05
SA us,200759878,1930624108,39945.93,2020-03-25,2020-03-26
COST co,200794332,1930793379,13776.49,2020-05-01,2020-05-02
WAL-MAR systems,200769623,1930725718,57843.38,2020-04-17,2020-04-18
SA associates,200759878,1930740887,80029.11,2020-04-19,2020-04-20
OK co,200739534,1930759883,1141.51,2020-04-22,2020-04-23
ASSOCIAT co,200772670,1930646468,3731.47,2020-03-27,2020-03-01
L&E IN in,140103699,1991841277,36019.49,2020-05-05,2020-05-07
WAKE corporation,200704858,1930720419,10858.97,2020-04-15,2020-04-16
BJ'S  associates,200726979,1930593012,370.02,2020-03-18,2020-03-19
WAL-MAR corporation,200769623,1930780710,4014.3,2020-04-30,2020-05-01
THE  co,140106181,2960631177,41983.2,2020-05-11,2020-05-13
